"Model","Variable","Estimate","StdError","t_value","p_value"
"ARIMAX","ar1",0.792776576417845,0.118231828501016,6.70527206141479,2.01032523960976e-11
"ARIMAX","ma1",-0.583925075481938,0.155649428022328,-3.75154013028672,0.000175751614561515
"ARIMAX","ma2",0.0504744242908881,0.12747372790654,0.3959594272468,0.6921349595422
"ARIMAX","ma3",0.211449741415651,0.097488195171756,2.16897790592098,0.0300843613353923
"ARIMAX","Air_Frost",0.0131738129731791,0.00967937037054315,1.36101961892795,0.17350748957635
"ARIMAX","GDP",0.0190225358332061,0.0124352682097894,1.52972461166789,0.12608490894608
"ARIMAX","Mean_Temp",0.00492130872013766,0.0155210520943479,0.31707313977316,0.751188105481408
"ARIMAX","Rainfall",-0.00128039039119393,0.000625722560488283,-2.04625895252166,0.0407308999310256
"SARIMAX","ar1",0.939556891444995,0.0428790782352063,21.9117791266689,0
"SARIMAX","ma1",-0.636653136535058,0.0863844552485612,-7.36999654281738,1.70530256582424e-13
"SARIMAX","sma1",-0.642716631741359,0.115473124212073,-5.5659413056234,2.60741004343146e-08
"SARIMAX","Air_Frost",0.00426371035199585,0.00676034286694791,0.630694394635162,0.528240364860017
"SARIMAX","GDP",0.0168691316792234,0.0111900842127996,1.50750712491761,0.13168071894838
"SARIMAX","Mean_Temp",0.00206146936582603,0.00810990549588108,0.254191539824111,0.799347586248209
"SARIMAX","Rainfall",-0.000320694787380536,0.000455959925666781,-0.703339853632009,0.48184397970341
